fighter,dob
Julio Arce,"Oct 27, 1989"
Julio Paulino,"Dec 04, 1975"
Julius Walker,"Jul 16, 1999"
Jumabieke Tuerxun,"Apr 17, 1986"
JunYong Park,"Feb 27, 1991"
Junie Browning,"May 12, 1984"
Junior Albini,"Mar 15, 1991"
Junior Assuncao,"Jun 24, 1981"
Junior Dos Santos,"Jan 30, 1984"
Junior Tafa,"Sep 21, 1996"
Junyong Park,"Feb 27, 1991"
Jussier Formiga,"Apr 14, 1985"
Justin Buchholz,"Aug 22, 1983"
Justin Edwards,"Jan 26, 1983"
Justin Eilers,"Jun 28, 1978"
Justin Frazier,"Jun 15, 1989"
Justin Gaethje,"Nov 14, 1988"
Justin James,"Nov 08, 1976"
Justin Jaynes,"Aug 10, 1989"
Justin Jones,"Sep 06, 1987"
Justin Lawrence,"May 15, 1990"
Justin Ledet,"Sep 28, 1988"
Justin Levens,"Apr 18, 1980"
Justin McCully,"Feb 18, 1976"
Justin Salas,"Mar 13, 1982"
Justin Scoggins,"May 02, 1992"
Justin Tafa,"Dec 13, 1993"
Justin Willis,"Jul 19, 1987"
Justin Wren,"Apr 27, 1987"
Justine Kish,"Apr 13, 1988"
Jutaro Nakao,"Nov 30, 1970"
KB Bhullar,"Oct 12, 1991"
KJ Noons,"Dec 07, 1982"
Kaan Ofli,"Jun 19, 1993"
Kai Asakura,"Oct 31, 1993"
Kai Kamaka,--
Kai Kara-France,"Mar 26, 1993"
Kailin Curran,"Apr 11, 1991"
Kajan Johnson,"Apr 21, 1984"
Kalib Starnes,"Jan 06, 1975"
Kalindra Faria,"Jul 23, 1986"
Kamal Shalorus,"Aug 27, 1972"
Kamaru Usman,"May 11, 1987"
Kamuela Kirk,"Apr 13, 1994"
Kanako Murata,"Aug 10, 1993"
Karine Gevorgyan,"Mar 09, 1989"
Karine Silva,"Dec 02, 1993"
Karl Roberson,"Oct 04, 1990"
Karl Williams,"Jan 06, 1990"
Karlos Vemola,"Jul 03, 1985"
Karo Parisyan,"Aug 28, 1982"
Karol Rosa,"Dec 30, 1994"
Karolina Kowalkiewicz,"Oct 15, 1985"
Katlyn Cerminara,"Dec 28, 1988"
Katlyn Chookagian,
Katsuhisa Fujii,"Aug 15, 1972"
Katsunori Kikuno,"Oct 31, 1981"
Kaue Fernandes,"Mar 17, 1995"
Kay Hansen,"Aug 14, 1999"
Kayla Harrison,"Jul 02, 1990"
Kaynan Kruschewsky,"Apr 04, 1991"
Kazuhiro Nakamura,"Jul 16, 1979"
Kazuki Tokudome,"Mar 04, 1987"
Kazula Vargas,"Aug 15, 1985"
Kazushi Sakuraba,"Jul 14, 1969"
Keigo Kunihara,--
Keiichiro Nakamura,"Dec 02, 1998"
Keiichiro Yamamiya,"Jul 12, 1972"
Keita Nakamura,"May 22, 1984"
Keith Berish,"Nov 14, 1985"
Keith Hackney,"Apr 15, 1958"
Keith Jardine,"Oct 31, 1975"
Keith Rockel,"Aug 28, 1965"
Keith Wisniewski,"Oct 25, 1981"
Kelly Dullanty,"Nov 04, 1977"
Kelly Faszholz,"Apr 09, 1985"
Kelvin Gastelum,"Oct 24, 1991"
Ken Shamrock,"Feb 11, 1964"
Ken Stone,"Oct 08, 1982"
Kendall Grove,"Nov 12, 1982"
Kenichi Yamamoto,"Jul 11, 1976"
Kennedy Nzechukwu,"Jun 13, 1992"
Kenny Florian,"May 26, 1976"
Kenny Robertson,"Feb 14, 1984"
Kerry Schall,"Aug 09, 1971"
Ketlen Souza,"Aug 18, 1994"
Ketlen Vieira,"Aug 26, 1991"
Kevin Aguilar,"Sep 07, 1988"
Kevin Borjas,"Dec 06, 1997"
Kevin Burns,"Mar 03, 1980"
Kevin Casey,"Jun 15, 1981"
Kevin Christian,"Jan 21, 1995"
Kevin Croom,"Jul 15, 1987"
Kevin Ferguson,"Feb 08, 1974"
Kevin Holland,"Nov 05, 1992"
Kevin Jackson,"Nov 25, 1964"
Kevin Jordan,"Dec 31, 1970"
Kevin Jousset,"May 02, 1993"
Kevin Lee,"Sep 04, 1992"
Kevin Natividad,"Apr 02, 1993"
Kevin Randleman,"Aug 10, 1971"
Kevin Vallejos,"Dec 08, 2001"
Khabib Nurmagomedov,"Sep 20, 1988"
Khadis Ibragimov,"May 21, 1995"
Khalid Murtazaliev,"Jul 15, 1993"
Khalid Taha,"Feb 15, 1992"
Khalil Rountree Jr.,"Feb 26, 1990"
Khama Worthy,"Oct 15, 1986"
Khamzat Chimaev,"May 01, 1994"
Khaos Williams,"Mar 30, 1994"
Khusein Askhabov,"Feb 13, 1995"
Kiefer Crosbie,"Apr 05, 1990"
Kiichi Kunimoto,"May 01, 1981"
Kimo Leopoldo,"Jan 05, 1968"
King Green,"Sep 09, 1986"
Kiru Sahota,"May 28, 1995"
Kit Cope,"Mar 17, 1977"
Klaudia Sygula,"Dec 30, 1998"
Kleydson Rodrigues,"Oct 22, 1995"
Klidson Abreu,"Dec 24, 1992"
Kody Steele,"Apr 21, 1995"
Koji Kitao,"Oct 12, 1963"
Koji Oishi,"May 31, 1977"
Konstantin Erokhin,"Jan 31, 1983"
Kris McCray,"Sep 24, 1981"
Kris Moutinho,"Aug 09, 1992"
Kristian Rothaermel,"Jan 31, 1972"
Kristof Midoux,"Jul 30, 1974"
Kron Gracie,"Jul 11, 1988"
Krzysztof Jotko,"Aug 19, 1989"
Krzysztof Soszynski,"Aug 02, 1977"
Kuniyoshi Hironaka,"Jun 17, 1976"
Kurt Holobaugh,"Sep 08, 1986"
Kurt Pellegrino,"May 07, 1979"
Kurtis Campbell,"Jul 29, 2002"
Kwan Ho Kwak,"Jun 18, 1989"
Kyle Bochniak,"Feb 05, 1987"
Kyle Bradley,"Aug 19, 1982"
Kyle Daukaus,"Feb 27, 1993"
Kyle Kingsbury,"Mar 22, 1982"
Kyle Nelson,"Apr 20, 1991"
Kyle Noke,"Mar 18, 1980"
Kyle Prepolec,"Aug 30, 1989"
Kyle Stewart,"Jan 31, 1989"
Kyle Watson,"Aug 09, 1979"
Kyler Phillips,"Jun 12, 1995"
Kyoji Horiguchi,"Oct 12, 1990"
Kyung Ho Kang,"Sep 09, 1987"
Lance Benoist,"Aug 26, 1988"
Lance Gibson,"Nov 20, 1970"
Lance Gibson Jr.,"Feb 02, 1995"
Lando Vannata,"Mar 14, 1992"
Landon Quinones,"Nov 21, 1995"
Lara Procopio,"Nov 14, 1995"
Larissa Pacheco,"Sep 07, 1994"
Larry Cureton,--
Laureano Staropoli,"Feb 27, 1993"
Lauren Mueller,"Nov 15, 1991"
Lauren Murphy,"Jul 27, 1983"
Lavar Johnson,"Jun 11, 1977"
Laverne Clark,"Dec 02, 1973"
Lawrence Lui,"Aug 04, 1996"
Leah Letson,"Aug 21, 1992"
Leandro Issa,"Sep 19, 1983"
Leandro Silva,"Nov 11, 1985"
Lee Murray,"Sep 12, 1977"
Leigh Remedios,"Jan 13, 1976"
Leo Kuntz,"Oct 03, 1983"
Leon Edwards,"Aug 25, 1991"
Leonard Garcia,"Jul 14, 1979"
Leonardo Guimaraes,"Apr 15, 1982"
Leonardo Mafra,"Apr 25, 1989"
Leonardo Morales,"Dec 22, 1992"
Leonardo Santos,"Feb 05, 1980"
Lerone Murphy,"Jul 22, 1991"
Lerryan Douglas,"Apr 27, 1995"
Leslie Smith,"Aug 17, 1982"
Levan Makashvili,"Jan 07, 1989"
Lewis Gonzalez,"Sep 19, 1987"
Li Jingliang,"Mar 20, 1988"
Liana Jojua,"Mar 22, 1995"
Liang Na,"Jul 27, 1996"
Liliya Shakirova,"Oct 24, 1991"
Lina Lansberg,"Mar 13, 1982"
Lisa Ellis,"Nov 15, 1982"
Liudvik Sholinian,"Jan 20, 1990"
Livinha Souza,"Mar 11, 1991"
Liz Carmouche,"Feb 19, 1984"
Lodune Sincaid,"May 07, 1973"
Logan Clark,"Feb 16, 1985"
Loik Radzhabov,"Sep 17, 1990"
Loma Lookboonmee,"Jan 18, 1996"
Lone'er Kavanagh,"Jun 09, 1999"
Loopy Godinez,"Sep 06, 1993"
Lorenz Larkin,"Sep 03, 1986"
Losene Keita,"Dec 30, 1997"
Louie Sutherland,"Feb 08, 1994"
Louis Cosce,"Aug 27, 1995"
Louis Gaudinot,"Aug 28, 1984"
Louis Smolka,"Jul 16, 1991"
Lowell Anderson,--
Luan Chagas,"Jun 17, 1993"
Luan Lacerda,"Jan 07, 1993"
Luana Carolina,"Jun 11, 1993"
Luana Pinheiro,"Nov 18, 1992"
Luana Santos,"Apr 16, 2000"
Lucas Alexander,"Jul 28, 1995"
Lucas Almeida,"Jan 31, 1991"
Lucas Martins,"Nov 11, 1988"
Lucas Rocha,"Aug 12, 2000"
Lucie Pudilova,"Jun 13, 1994"
Lucio Linhares,"Dec 08, 1973"
Ludovit Klein,"Feb 22, 1995"
Luigi Fioravanti,"Jan 22, 1981"
Luigi Vendramini,"Jan 16, 1996"
Luis Gurule,"Nov 16, 1993"
Luis Henrique,"Aug 21, 1993"
Luis Pajuelo,"Dec 18, 1994"
Luis Pena,"Jul 05, 1993"
Luis Ramos,"Jan 18, 1981"
Luis Saldana,"Jan 27, 1991"
Luiz Cane,"Apr 24, 1981"
Luiz Dutra,"May 06, 1982"
Lukasz Brzeski,"May 17, 1992"
Lukasz Sajewski,"Nov 27, 1990"
Luke Barnatt,"Apr 13, 1988"
Luke Caudillo,"Nov 30, 1980"
Luke Cummo,"Apr 27, 1980"
Luke Fernandez,"Jun 29, 1995"
Luke Jumeau,"Feb 12, 1988"
Luke Riley,"Jun 30, 1999"
Luke Rockhold,"Oct 17, 1984"
Luke Sanders,"Dec 12, 1985"
Luke Zachrich,"Dec 19, 1981"
Lyman Good,"May 26, 1985"
Lyoto Machida,"May 30, 1978"
Mac Danzig,"Jan 02, 1980"
Maciej Jewtuszko,"Jan 31, 1981"
Mackens Semerzier,"Nov 03, 1980"
Mackenzie Dern,"Mar 24, 1993"
Macy Chiasson,"Jul 27, 1991"
Mads Burnell,"Mar 06, 1994"
Magnus Cedenblad,"Apr 10, 1982"
Magomed Ankalaev,"Jun 02, 1992"
Magomed Gadzhiyasulov,"Nov 04, 1993"
Magomed Mustafaev,"Aug 02, 1988"
Maheshate,
Maia Stevenson,"Mar 19, 1982"
Maiquel Falcao,"Mar 08, 1981"
Mairbek Taisumov,"Aug 08, 1988"
Mairon Santos,"Jun 10, 2000"
Makhmud Muradov,"Feb 08, 1990"
Maki Pitolo,"Nov 24, 1990"
Makwan Amirkhani,"Nov 08, 1988"
Malcolm Gordon,"May 19, 1990"
Malcolm Wellmaker,"Jun 04, 1994"
Mallory Martin,"Jan 29, 1994"
Mana Martinez,"Mar 25, 1996"
Mandy Bohm,"Jul 30, 1989"
Manel Kape,"Nov 14, 1993"
Manny Bermudez,"Jul 16, 1994"
Manoel Sousa,"Jun 04, 1997"
Manolo Zecchini,"Oct 22, 1996"
Manon Fiorot,"Feb 17, 1990"
Mansur Abdul-Malik,"Oct 07, 1997"
Mantas Kondratavicius,"Jul 17, 1999"
Manuel Rodriguez,"Apr 25, 1985"
Manuel Torres,"Mar 25, 1995"
Manvel Gamburyan,"May 08, 1981"
MarQuel Mederos,"Nov 30, 1996"
Mara Romero Borella,"Jun 03, 1986"
Marc Diakiese,"Mar 16, 1993"
Marc-Andre Barriault,"Feb 18, 1990"
Marcel Fortuna,"Oct 22, 1985"
Marcelo Aguiar,"Jan 20, 1969"
Marcelo Golm,"Sep 15, 1992"
Marcelo Guimaraes,"Jun 25, 1983"
Marcelo Mello,--
Marcelo Rojo,"Jul 02, 1988"
Marcin Bandel,"Oct 10, 1989"
Marcin Held,"Jan 18, 1992"
Marcin Prachnio,"Jul 14, 1988"
Marcin Tybura,"Nov 09, 1985"
Marcin Wrzosek,"Oct 14, 1987"
Marcio Alexandre Junior,"May 05, 1989"
Marcio Cruz,"Apr 24, 1978"
Marco Beltran,"May 18, 1986"
Marco Polo Reyes,"Nov 07, 1984"
Marco Ruas,"Jan 23, 1961"
Marco Tulio,"Jun 13, 1994"
Marcos Mariano,"Oct 12, 1986"
Marcos Rogerio de Lima,"Jun 25, 1985"
Marcos Vinicius,"Dec 05, 1979"
Marcus Aurelio,"Aug 18, 1973"
Marcus Bossett,--
Marcus Brimage,"Apr 06, 1985"
Marcus Buchecha,"Jan 08, 1990"
Marcus Davis,"Aug 24, 1973"
Marcus Jones,"Aug 15, 1973"
Marcus LeVesseur,"Jul 17, 1982"
Marcus McGhee,"May 07, 1990"
Marcus Silveira,"Dec 09, 1964"
Marek Bujlo,"Oct 10, 1992"
Maria Oliveira,"Dec 12, 1996"
Marina Rodriguez,"Apr 29, 1987"
Mario Bautista,"Jul 01, 1993"
Mario Miranda,"Jul 12, 1979"
Mario Neto,--
Mario Pinto,"Mar 14, 1998"
Marion Reneau,"Jun 20, 1977"
Mariya Agapova,"Apr 07, 1997"
Mark Bocek,"Oct 24, 1981"
Mark Choinski,"Oct 22, 1995"
Mark Coleman,"Dec 20, 1964"
Mark De La Rosa,"Aug 31, 1994"
Mark Eddiva,"Feb 16, 1986"
Mark Godbeer,"Nov 22, 1983"
Mark Hall,"Jan 26, 1961"
Mark Holst,"Aug 14, 1985"
Mark Hominick,"Jul 22, 1982"
Mark Hughes,"Oct 13, 1973"
Mark Hunt,"Mar 23, 1974"
Mark Kerr,"Dec 21, 1968"
Mark Madsen,"Sep 23, 1984"
Mark Munoz,"Feb 09, 1978"
Mark Robinson,--
Mark Scanlon,--
Mark Schultz,"Oct 26, 1960"
Mark Striegl,"Jun 23, 1988"
Mark Weir,"Sep 19, 1967"
Markus Perez,"Jun 22, 1988"
Marlon Moraes,"Apr 26, 1988"
Marlon Vera,"Dec 02, 1992"
Marnic Mann,"Mar 05, 1993"
Martin Bravo,"Sep 21, 1993"
Martin Buday,"Nov 11, 1991"
Martin Day,"Nov 10, 1988"
Martin Kampmann,"Apr 17, 1982"
Martin Sano,"May 30, 1991"
Martin Svensson,"Apr 25, 1985"
Marvin Eastman,"Jun 08, 1971"
Marvin Vettori,"Sep 20, 1993"
Marwan Rahiki,"May 10, 2002"
Maryna Moroz,"Sep 08, 1991"
Masanori Kanehara,"Nov 19, 1982"
Masio Fullen,"Oct 06, 1986"
Mason Jones,"Apr 26, 1995"
Masutatsu Yano,"Jul 11, 1975"
Mateus Mendonca,"Jan 17, 1999"
Mateusz Gamrot,"Dec 11, 1990"
Mateusz Rebecki,"Oct 03, 1992"
Matheus Camilo,"Jan 02, 2001"
Matheus Nicolau,"Jan 06, 1993"
Matheus Nicolau Pereira,"Aug 28, 1993"
Mats Nilsson,"Dec 05, 1983"
Matt Andersen,"May 29, 1971"
Matt Arroyo,"Sep 01, 1982"
Matt Bessette,"Dec 28, 1984"
Matt Brown,"Jan 10, 1981"
Matt Dwyer,"Dec 17, 1989"
Matt Frevola,"Jun 11, 1990"
Matt Grice,"Jul 29, 1981"
Matt Hamill,"Oct 05, 1976"
Matt Hobar,"Jan 07, 1987"
Matt Horwich,"Oct 02, 1978"
Matt Hughes,"Oct 13, 1973"
Matt Lindland,"May 17, 1970"
Matt Lucas,"Dec 27, 1973"
Matt Mitrione,"Jul 15, 1978"
Matt Sayles,"Feb 21, 1994"
Matt Schnell,"Jan 15, 1990"
Matt Serra,"Jun 02, 1974"
Matt Van Buren,"Jun 12, 1986"
Matt Veach,"May 31, 1981"
Matt Wiman,"Sep 19, 1983"
Matthew Lopez,"Jan 21, 1987"
Matthew Riddle,"Jan 14, 1986"
Matthew Semelsberger,"Nov 23, 1992"
Maurice Greene,"Jul 05, 1986"
Maurice Smith,"Dec 13, 1961"
Mauricio Rua,"Nov 25, 1981"
Mauricio Ruffy,"Jun 17, 1996"
Max Gimenis,"Apr 14, 1993"
Max Griffin,"Nov 29, 1985"
Max Holloway,"Dec 04, 1991"
Max Rohskopf,"Sep 27, 1994"
Maxim Grishin,"May 02, 1984"
Maximo Blanco,"Oct 16, 1983"
Maycee Barber,"May 18, 1998"
Mayra Bueno Silva,"Aug 22, 1991"
Megan Anderson,"Feb 11, 1990"
Mehdi Baghdad,"Apr 13, 1985"
Melinda Fabian,"Jun 25, 1987"
Melissa Croden,"Apr 12, 1991"
Melissa Dixon,"Oct 09, 1995"
Melissa Gatto,"May 02, 1996"
Melissa Martinez,"Aug 18, 1997"
Melissa Mullins,"Jul 23, 1991"
Melquizael Costa,"Sep 14, 1996"
Melsik Baghdasaryan,"Jan 28, 1992"
Melton Bowen,"Jul 16, 1969"
Melvin Guillard,"Mar 30, 1983"
Merab Dvalishvili,"Jan 10, 1991"
Michael Aswell,"Sep 27, 2000"
Michael Aswell Jr.,"Sep 27, 2000"
Michael Bisping,"Feb 28, 1979"
Michael Chandler,"Apr 24, 1986"
Michael Chiesa,"Dec 07, 1987"
Michael Graves,"Jan 08, 1991"
Michael Johnson,"Jun 04, 1986"
Michael Kuiper,"Jun 07, 1989"
Michael McBride,"Mar 09, 1986"
Michael McDonald,"Jan 15, 1991"
Michael Morales,"Jun 24, 1999"
Michael Page,"Apr 07, 1987"
Michael Patt,--
Michael Trizano,"Dec 31, 1991"
Michal Figlak,"Aug 15, 1996"
Michal Oleksiejczuk,"Feb 22, 1995"
Micheal Gillmore,"Mar 28, 1987"
Michel Batista,"Apr 20, 1984"
Michel Pereira,"Oct 06, 1993"
Michel Prazeres,"Jul 25, 1981"
Michel Quinones,"Dec 22, 1984"
Michelle Montague,"Nov 25, 1993"
Michelle Waterson,"Jan 06, 1986"
Michelle Waterson-Gomez,"Jan 06, 1986"
Michihiro Omigawa,"Dec 19, 1975"
Michinori Tanaka,"Oct 04, 1990"
Mick Parkin,"Oct 02, 1995"
Mickael Lebout,"Aug 16, 1987"
Mickey Gall,"Jan 22, 1992"
Miesha Tate,"Aug 18, 1986"
Miguel Baeza,"Aug 23, 1992"
Miguel Torres,"Jan 18, 1981"
Mike Breeden,"Apr 21, 1989"
Mike Brown,"Sep 08, 1975"
Mike Ciesnolevicz,"Oct 28, 1979"
Mike Davis,"Oct 07, 1992"
Mike Easton,"Jan 25, 1984"
Mike Grundy,"Jan 03, 1987"
Mike Guymon,"Sep 17, 1974"
Mike Jackson,"Mar 22, 1985"
Mike King,"Aug 04, 1983"
Mike Kyle,"Mar 31, 1980"
Mike Lullo,"Jul 24, 1979"
Mike Malott,"Nov 07, 1991"
Mike Massenzio,"Nov 01, 1982"
Mike Nickels,"Dec 13, 1971"
Mike Perry,"Sep 15, 1991"
Mike Pierce,"Sep 01, 1980"
Mike Pyle,"Sep 18, 1975"
Mike Rhodes,"Dec 04, 1989"
Mike Ricci,"Mar 18, 1986"
Mike Rio,"Jul 06, 1981"
Mike Rodriguez,"Nov 28, 1988"
Mike Russow,"Sep 11, 1976"
Mike Santiago,"Jul 28, 1989"
Mike Stumpf,"Aug 01, 1986"
Mike Swick,"Jun 19, 1979"
Mike Wessel,"Dec 02, 1977"
Mike Whitehead,"Jun 29, 1981"
Mike Wilkinson,"Sep 15, 1987"
Mike de la Torre,"Sep 22, 1986"
Mike van Arsdale,"Jun 20, 1965"
Mikey Burnett,"Apr 12, 1974"
Milana Dudieva,"Aug 04, 1989"
Miles Johns,"Mar 30, 1994"
Milton Vieira,"Oct 04, 1978"
Minoki Ichihara,"Jun 30, 1968"
Miranda Granger,"Apr 13, 1992"
Miranda Maverick,"Jul 01, 1997"
Mirko Filipovic,"Sep 10, 1974"
Mirsad Bektic,"Feb 16, 1991"
Misha Cirkunov,"Feb 27, 1987"
Mitch Clarke,"Nov 24, 1985"
Mitch Gagnon,"Oct 10, 1984"
Mitch Ramirez,"Nov 03, 1992"
Mitch Raposo,"Oct 16, 1998"
Mizuki,
Mizuto Hirota,"May 05, 1981"
Modestas Bukauskas,"Feb 10, 1994"
Mohammad Yahya,"May 23, 1994"
Mohammed Usman,"Apr 01, 1989"
Molly McCann,"May 04, 1990"
Montana De La Rosa,"Feb 14, 1995"
Montel Jackson,"Apr 24, 1992"
Montse Rendon,"Mar 16, 1989"
Montserrat Conejo,"Feb 03, 1993"
Montserrat Conejo Ruiz,"Feb 03, 1993"
Montserrat Rendon,"Mar 16, 1989"
Morgan Charriere,"Oct 26, 1995"
Mostapha Al-Turk,"Jul 14, 1973"
Moti Horenstein,"Mar 23, 1964"
Motonobu Tezuka,"Aug 29, 1987"
Mounir Lazzez,"Nov 16, 1987"
Movsar Evloev,"Feb 11, 1994"
Muhammad Mokaev,"Jul 30, 2000"
Muhammad Naimov,"Aug 07, 1994"
Muin Gafurov,"May 17, 1996"
Murilo Bustamante,"Jul 30, 1966"
Muslim Salikhov,"Jun 09, 1984"
Myktybek Orolbai,"Feb 10, 1998"
Myles Jury,"Oct 31, 1988"
Na Liang,"Mar 20, 1988"
Nad Narimani,"Apr 14, 1987"
Nadia Kassem,"Nov 15, 1995"
Nah-Shon Burrell,"Feb 05, 1990"
Nam Phan,"Mar 13, 1983"
Nandor Guelmino,"Dec 20, 1975"
Naoki Inoue,"Jun 14, 1997"
Naoyuki Kotani,"Dec 08, 1981"
Nasrat Haqparast,"Aug 22, 1995"
Nassourdine Imavov,"Mar 01, 1996"
Natalia Silva,"Feb 03, 1997"
Natan Levy,"Sep 30, 1991"
Nate Diaz,"Apr 16, 1985"
Nate Landwehr,"Jun 06, 1988"
Nate Loughran,"Jul 28, 1980"
Nate Maness,"Jun 27, 1991"
Nate Marquardt,"Apr 20, 1979"
Nate Mohr,"Mar 03, 1983"
Nate Quarry,"Mar 18, 1972"
Nate Schroeder,"Jun 02, 1973"
Nathan Coy,"Jul 24, 1978"
Nathan Fletcher,"Jan 03, 1998"
Nathaniel Wood,"May 08, 1993"
Navajo Stirling,"Nov 07, 1997"
Nazareno Malegarie,"May 16, 1986"
Nazim Sadykhov,"May 16, 1994"
Neil Grove,"Jan 18, 1971"
Neil Magny,"Aug 03, 1987"
Neil Seery,"Aug 30, 1979"
Neil Wain,--
Nicco Montano,"Dec 16, 1988"
Nicholas Musoke,"Apr 05, 1986"
Nick Agallar,"Jan 13, 1979"
Nick Aguirre,"Jan 15, 1996"
Nick Catone,"Sep 01, 1981"
Nick Denis,"Oct 11, 1983"
Nick Diaz,"Aug 02, 1983"
Nick Fiore,"Dec 10, 1997"
Nick Hein,"Apr 24, 1984"
Nick Klein,"Sep 08, 1995"
Nick Maximov,"Dec 23, 1997"
Nick Osipczak,"Dec 30, 1984"
Nick Pace,"Apr 17, 1987"
Nick Penner,"Mar 26, 1980"
Nick Ring,"Feb 10, 1979"
Nick Roehrick,"Jul 06, 1987"
Nick Sanzo,"Jan 16, 1963"
Nick Serra,"Mar 27, 1978"
Nick Thompson,"Jun 23, 1981"
Nicolae Negumereanu,"Sep 04, 1994"
Nicolas Dalby,"Nov 16, 1984"
Nicolle Caliari,"Nov 04, 1996"
Nik Lentz,"Aug 13, 1984"
Nikita Krylov,"Mar 07, 1992"
Niklas Backstrom,"Aug 22, 1989"
Niklas Stolze,"Dec 28, 1992"
Niko Price,"Sep 29, 1989"
Nikolas Motta,"Feb 08, 1993"
Nikolay Veretennikov,"Dec 22, 1989"
Nina Ansaroff,
Nina Nunes,"Dec 03, 1985"
Nissen Osterneck,"May 01, 1981"
Noad Lahat,"Jun 08, 1984"
Noe Hernandez,--
Nohelin Hernandez,"Mar 01, 1994"
Nolan Ticman,"May 17, 1988"
Nora Cornolle,"Dec 06, 1989"
Nordine Taleb,"Jun 10, 1981"
Norifumi Yamamoto,"Mar 15, 1977"
Norma Dumont,"Oct 01, 1990"
Norman Parke,"Dec 22, 1986"
Nursulton Ruziboev,"Nov 19, 1993"
Nurullo Aliev,"Dec 08, 2000"
Nyamjargal Tumendemberel,"Mar 22, 1998"
Oban Elliott,"Dec 19, 1997"
Ode Osbourne,"Jan 09, 1992"
Oleg Taktarov,"Aug 26, 1967"
Oli Thompson,"Jan 02, 1980"
Oliver Enkamp,"Aug 10, 1991"
Olivier Aubin-Mercier,"Feb 23, 1989"
Oluwale Bamgbose,"Aug 04, 1987"
Omar Morales,"Oct 17, 1985"
Omari Akhmedov,"Oct 12, 1987"
Orion Cosce,"Jul 15, 1994"
Orlando Wiet,"Oct 24, 1965"
Oskar Piechota,"Jan 24, 1990"
Ottman Azaitar,"Feb 20, 1990"
Oumar Sy,"Nov 21, 1995"
Ovince Saint Preux,"Apr 08, 1983"
Ozzy Diaz,"Nov 22, 1990"
Pablo Garza,"Sep 16, 1983"
Paddy Holohan,"May 03, 1988"
Paddy Pimblett,"Jan 03, 1995"
Paige VanZant,"Mar 26, 1994"
Pannie Kianzad,"Dec 08, 1991"
Papy Abedi,"Jun 30, 1978"
Parker Porter,"Apr 22, 1985"
Pascal Krauss,"Apr 19, 1987"
Pat Audinwood,"Apr 16, 1986"
Pat Barry,"Jul 07, 1979"
Pat Healy,"Jul 20, 1983"
Pat Miletich,"Mar 09, 1968"
Pat Sabatini,"Nov 09, 1990"
Pat Schilling,"Aug 28, 1988"
Patchy Mix,"Aug 16, 1993"
Patricio Freire,"Jul 07, 1987"
Patrick Cote,"Feb 29, 1980"
Patrick Cummins,"Nov 16, 1980"
Patrick Smith,"Aug 28, 1963"
Patrick Walsh,"Nov 28, 1988"
Patrick Williams,"Sep 07, 1981"
Paul Bradley,"Jun 13, 1983"
Paul Buentello,"Jan 16, 1974"
Paul Craig,"Nov 27, 1987"
Paul Creighton,"Jun 04, 1970"
Paul Daley,"Feb 21, 1983"
Paul Felder,"Apr 25, 1984"
Paul Georgieff,"Sep 22, 1982"
Paul Herrera,"Feb 21, 1964"
Paul Jones,"Jun 16, 1963"
Paul Kelly,"Sep 12, 1984"
Paul Redmond,"Oct 20, 1986"
Paul Rodriguez,"May 18, 1975"
Paul Sass,"Aug 04, 1988"
Paul Taylor,"Dec 15, 1979"
Paul Varelans,"Sep 17, 1969"
Paulo Costa,"Apr 21, 1991"
Paulo Thiago,"Jan 25, 1981"
Pawel Pawlak,"Feb 08, 1989"
Payton Talbott,"Sep 09, 1998"
Pearl Gonzalez,"Aug 12, 1986"
Pedro Falcao,"Jul 30, 1992"
Pedro Munhoz,"Sep 07, 1986"
Pedro Nobre,"Feb 13, 1986"
Pedro Rizzo,"May 03, 1974"
Peggy Morgan,"Dec 16, 1979"
Per Eklund,"Nov 12, 1980"
Pete Rodriguez,"Nov 13, 1996"
Pete Sell,"Aug 05, 1982"
Pete Spratt,"Jan 09, 1971"
Pete Williams,"Jul 10, 1975"
Peter Barrett,"Aug 10, 1986"
Peter Sobotta,"Jan 11, 1987"
Petr Yan,"Feb 11, 1993"
Phil Baroni,"Apr 16, 1976"
Phil Davis,"Sep 25, 1984"
Phil Harris,"Sep 04, 1983"
Phil Hawes,"Jan 08, 1989"
Phil Johns,"Oct 22, 1968"
Phil Rowe,"Jul 18, 1990"
Philip De Fries,"Apr 21, 1986"
Philip Rowe,"Jul 18, 1990"
Philipe Lins,"Aug 17, 1985"
Phillip Hawes,"Jan 08, 1989"
Phillip Miller,"Feb 20, 1979"
Phillipe Nover,"Feb 03, 1984"
Piera Rodriguez,"Nov 11, 1992"
Pingyuan Liu,"Feb 13, 1993"
Piotr Hallmann,"Aug 25, 1987"
Poliana Botelho,"Dec 15, 1988"
Polyana Viana,"Jun 14, 1992"
Preston Parsons,"Jul 15, 1995"
Priscila Cachoeira,"Aug 19, 1988"
Puja Tomar,"Dec 05, 1993"
Punahele Soriano,"Nov 22, 1992"
Quang Le,"Oct 18, 1991"
Quillan Salkilld,"Dec 28, 1999"
Quinn Mulhern,"Sep 20, 1984"
Quinton Jackson,"Jun 20, 1978"
Rachael Ostovich,"Feb 25, 1991"
Rafa Garcia,"Aug 05, 1994"
Rafael Alves,"Nov 14, 1990"
Rafael Carino,--
Rafael Cavalcante,"Apr 14, 1980"
Rafael Cerqueira,"Mar 15, 1990"
